gender,age,under_30,senior_citizen,partner,dependents,number_of_dependents,married,total_population,phone_service_x,internet_service_x,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,internet_type,contract,paperless_billing,payment_method,monthly_ charges,avg_monthly_long_distance_charges,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,tenure,multiple_lines,avg_monthly_gb_download,unlimited_data,offer,referred_a_friend,number_of_referrals,satisfaction_score,cltv,churn_value
Male,44,No,No,No,Yes,2,No,24005,Yes,Yes,No,Yes,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Mailed check,81.85,1.27,3141.7,0.0,0,48.26,3189.96,38,Yes,13,Yes,No Offer,No,0,5,3571,0
Male,68,No,Yes,No,No,0,No,44150,Yes,Yes,No,No,No,No,No,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,78.75,39.52,1218.25,0.0,0,632.32,1850.57,16,No,17,Yes,Offer D,No,0,4,4351,0
Female,64,No,No,Yes,No,0,Yes,46171,Yes,Yes,No,No,Yes,Yes,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,84.85,2.03,3303.05,0.0,0,81.2,3384.25,40,Yes,19,Yes,Offer B,Yes,1,2,5764,1
Male,23,Yes,No,Yes,No,0,Yes,7324,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,No,Credit card (automatic),114.3,21.68,8244.3,0.0,0,1517.6,9761.9,70,Yes,30,Yes,Offer A,Yes,10,4,4280,0
Female,57,No,No,No,No,0,No,51387,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,70.3,15.92,70.3,0.0,0,15.92,86.22,1,No,11,Yes,Offer E,No,0,1,5963,1
Female,57,No,No,No,No,0,No,2743,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,DSL,One Year,No,Bank transfer (automatic),84.1,25.11,3187.65,0.0,0,954.18,4141.83,38,Yes,13,Yes,No Offer,No,0,3,2604,0
Female,38,No,No,No,No,0,No,807,Yes,Yes,Yes,Yes,Yes,No,No,No,No,DSL,Month-to-Month,No,Electronic check,61.4,15.84,438.9,0.0,0,110.88,549.78,7,No,14,Yes,No Offer,No,0,3,2845,0
Female,57,No,No,Yes,No,0,Yes,752,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),105.85,28.79,2239.65,0.0,0,575.8,2815.45,20,Yes,16,Yes,No Offer,Yes,3,2,4223,1
Female,21,Yes,No,Yes,No,0,Yes,38427,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Electronic check,97.65,16.66,6982.5,0.0,80,1166.2,8228.7,70,Yes,26,No,Offer A,Yes,9,4,4252,0
Female,60,No,No,No,No,0,No,3357,No,Yes,Yes,Yes,Yes,Yes,No,No,No,DSL,One Year,No,Mailed check,45.9,0.0,693.45,16.27,0,0.0,677.18,15,No,25,Yes,Offer D,No,0,3,3572,0
Male,20,Yes,No,No,No,0,No,3148,Yes,No,No,No,No,No,No,No,No,No,Two Year,No,Mailed check,24.55,5.84,1657.4,0.0,0,397.12,2054.52,68,Yes,0,No,No Offer,No,0,3,6042,0
Female,32,No,No,No,No,0,No,13472,Yes,Yes,Yes,No,Yes,Yes,No,No,No,DSL,One Year,Yes,Credit card (automatic),60.25,30.86,3282.75,0.0,0,1728.16,5010.91,56,No,22,Yes,Offer B,No,0,4,4835,0
Female,41,No,No,Yes,Yes,1,Yes,39458,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,No,Credit card (automatic),115.25,43.33,6758.45,11.85,0,2599.8,9346.4,60,Yes,28,Yes,Offer B,Yes,1,5,5328,0
Female,51,No,No,Yes,Yes,2,Yes,4806,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),96.35,29.42,3915.4,0.0,0,1176.8,5092.2,40,Yes,23,Yes,No Offer,Yes,4,5,2004,0
Male,47,No,No,Yes,No,0,Yes,11889,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),90.55,22.42,2929.75,0.0,0,695.02,3624.77,31,Yes,21,Yes,Offer C,Yes,4,4,5722,0
Female,26,Yes,No,Yes,Yes,1,Yes,9937,Yes,No,No,No,No,No,No,No,No,No,Two Year,No,Mailed check,19.05,42.67,201.7,0.0,0,341.36,543.06,8,No,0,No,No Offer,Yes,1,3,3153,0
Female,30,No,No,No,No,0,No,39458,Yes,Yes,No,No,Yes,Yes,No,No,No,Fiber Optic,Month-to-Month,No,Credit card (automatic),80.1,40.67,217.55,0.0,0,122.01,339.56,3,No,58,Yes,Offer E,No,0,3,4330,1
Female,34,No,No,No,No,0,No,47453,Yes,Yes,No,No,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),80.1,36.39,679.3,0.0,0,291.12,970.42,8,No,7,Yes,No Offer,No,0,1,5071,1
Male,19,Yes,No,Yes,No,0,Yes,406,Yes,Yes,No,No,Yes,No,No,No,No,Fiber Optic,Month-to-Month,No,Electronic check,76.4,20.5,151.8,0.0,0,41.0,192.8,2,No,51,Yes,Offer E,Yes,1,1,4340,1
Male,25,Yes,No,No,No,0,No,4258,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed check,20.1,4.11,20.1,0.0,0,4.11,24.21,1,No,0,No,No Offer,No,0,1,4389,1
Male,56,No,No,No,No,0,No,84965,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,95.45,5.59,95.45,0.0,0,5.59,101.04,1,Yes,2,Yes,No Offer,No,0,1,5962,1
Female,39,No,No,No,No,0,No,2048,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Credit card (automatic),100.05,28.13,6254.2,0.0,0,1800.32,8054.52,64,Yes,18,Yes,No Offer,No,0,1,5452,1
Male,32,No,No,Yes,No,0,Yes,8812,Yes,No,No,No,No,No,No,No,No,No,Two Year,No,Mailed check,19.75,27.38,483.15,16.56,0,657.12,1123.71,24,No,0,No,No Offer,Yes,4,3,3455,0
Female,39,No,No,No,No,0,No,2055,No,Yes,No,No,No,No,No,No,No,DSL,Month-to-Month,No,Electronic check,24.6,0.0,24.6,0.0,0,0.0,24.6,1,No,12,Yes,No Offer,No,0,2,5768,1
Female,54,No,No,No,No,0,No,42239,Yes,Yes,No,No,No,No,No,No,No,Cable,Month-to-Month,Yes,Mailed check,50.6,37.1,249.95,0.0,20,185.5,455.45,5,Yes,2,No,Offer E,No,0,2,2353,1
Female,64,No,No,Yes,No,0,Yes,425,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),83.85,12.03,2674.15,11.37,0,372.93,3035.71,31,No,9,Yes,Offer C,Yes,1,3,4283,0
Female,70,No,Yes,Yes,No,0,Yes,65566,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic,Two Year,No,Bank transfer (automatic),102.05,45.13,3452.55,0.0,0,1579.55,5032.1,35,Yes,10,Yes,No Offer,Yes,1,5,3199,0
Male,48,No,No,No,No,0,No,37031,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,DSL,Month-to-Month,Yes,Bank transfer (automatic),72.45,41.23,2156.25,0.0,0,1278.13,3434.38,31,No,27,Yes,No Offer,No,0,4,3175,0
Male,56,No,No,Yes,Yes,1,Yes,23393,Yes,No,No,No,No,No,No,No,No,No,Two Year,Yes,Bank transfer (automatic),24.0,26.17,269.65,0.0,0,314.04,583.69,12,Yes,0,No,No Offer,No,0,3,3705,0
Female,54,No,No,No,No,0,No,27614,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed check,20.9,15.51,20.9,0.0,0,15.51,36.41,1,No,0,No,Offer E,No,0,3,5527,1
Female,46,No,No,No,No,0,No,384,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,No,Bank transfer (automatic),69.75,26.44,144.55,0.0,0,52.88,197.43,2,No,24,Yes,No Offer,No,0,1,5667,1
Female,51,No,No,No,No,0,No,28201,Yes,Yes,Yes,No,No,No,No,Yes,Yes,DSL,Month-to-Month,Yes,Bank transfer (automatic),64.65,47.57,994.55,0.0,0,713.55,1708.1,15,Yes,26,Yes,Offer D,No,0,1,4780,1
Male,40,No,No,Yes,Yes,2,Yes,3012,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Bank transfer (automatic),103.15,39.45,7031.3,0.0,0,2603.7,9635.0,66,No,19,Yes,No Offer,Yes,7,4,4663,0
Female,23,Yes,No,No,No,0,No,8449,Yes,Yes,No,No,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Mailed check,84.6,9.57,2088.05,0.0,0,239.25,2327.3,25,Yes,59,Yes,Offer C,No,0,3,4874,0
Male,73,No,Yes,No,No,0,No,44150,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Cable,One Year,Yes,Credit card (automatic),70.15,5.75,2497.35,0.0,0,218.5,2715.85,38,No,30,Yes,Offer C,No,0,3,2645,1
Male,60,No,No,Yes,Yes,3,Yes,1195,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),75.75,25.26,1929.0,0.0,0,682.02,2611.02,27,Yes,23,Yes,Offer C,Yes,7,3,4994,0
Male,29,Yes,No,Yes,No,0,Yes,42663,Yes,Yes,No,Yes,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Mailed check,86.3,40.25,3266.0,0.0,0,1569.75,4835.75,39,No,19,Yes,Offer C,Yes,5,1,3364,1
Male,21,Yes,No,No,No,0,No,11474,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Fiber Optic,Month-to-Month,No,Credit card (automatic),85.7,29.84,256.75,0.0,0,89.52,346.27,3,No,30,Yes,Offer E,No,0,5,5806,0
Male,43,No,No,No,No,0,No,31352,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit card (automatic),19.4,2.59,460.25,29.59,0,69.93,500.59,27,No,0,No,No Offer,No,0,4,5975,0
Male,65,No,Yes,No,No,0,No,1845,No,Yes,No,No,Yes,No,No,No,No,DSL,Month-to-Month,Yes,Electronic check,29.4,0.0,221.9,0.0,0,0.0,221.9,8,No,4,Yes,Offer E,No,0,1,5971,1
Male,22,Yes,No,Yes,Yes,3,Yes,31926,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Bank transfer (automatic),105.55,8.33,7542.25,0.0,10,599.76,8152.01,72,Yes,59,No,No Offer,Yes,4,3,4331,0
Male,59,No,No,Yes,No,0,Yes,1822,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,103.45,18.6,1539.8,0.0,140,279.0,1958.8,15,Yes,13,No,No Offer,Yes,1,5,5640,0
Female,19,Yes,No,Yes,No,0,Yes,12937,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,DSL,Two Year,Yes,Electronic check,59.55,0.0,4103.9,0.0,0,0.0,4103.9,67,No,52,Yes,No Offer,Yes,1,4,4478,0
Female,20,Yes,No,Yes,No,0,Yes,2147,Yes,Yes,No,No,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),80.0,45.1,1706.45,0.0,50,992.2,2748.65,22,No,41,No,No Offer,Yes,1,3,2640,0
Male,56,No,No,No,No,0,No,44586,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Electronic check,20.4,46.92,251.65,0.0,0,609.96,861.61,13,No,0,No,No Offer,No,0,5,2486,0
Male,55,No,No,No,No,0,No,68776,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed check,20.2,13.27,20.2,0.0,0,13.27,33.47,1,No,0,No,No Offer,No,0,1,4325,1
Female,59,No,No,No,No,0,No,1417,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),75.2,9.27,633.85,0.0,0,83.43,717.28,9,Yes,28,Yes,No Offer,No,0,5,5841,0
Female,70,No,Yes,Yes,No,0,Yes,13779,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Fiber Optic,Two Year,Yes,Bank transfer (automatic),96.6,28.09,6827.5,0.0,0,2022.48,8849.98,72,Yes,20,Yes,No Offer,Yes,10,4,5153,0
Female,43,No,No,No,No,0,No,36631,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,DSL,Month-to-Month,Yes,Credit card (automatic),78.9,42.41,2976.95,0.0,30,1569.17,4576.12,37,Yes,4,No,No Offer,No,0,4,3801,0
Male,69,No,Yes,Yes,No,0,Yes,37916,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,DSL,Two Year,No,Bank transfer (automatic),74.4,5.27,5360.75,0.0,140,379.44,5880.19,72,No,9,No,Offer A,Yes,7,4,5590,0
Female,34,No,No,Yes,No,0,Yes,20893,Yes,No,No,No,No,No,No,No,No,No,Two Year,No,Credit card (automatic),19.85,40.91,1328.35,33.29,0,2863.7,4158.76,70,No,0,No,No Offer,No,0,4,4311,0
Male,72,No,Yes,Yes,No,0,Yes,74232,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Mailed check,92.5,11.12,934.1,0.0,100,111.2,1145.3,10,No,30,No,No Offer,Yes,1,1,2415,1
Male,37,No,No,No,No,0,No,25923,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Electronic check,103.1,16.64,4889.3,0.0,0,782.08,5671.38,47,Yes,8,Yes,No Offer,No,0,4,5029,0
Female,76,No,Yes,No,No,0,No,23559,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,DSL,One Year,No,Bank transfer (automatic),74.85,7.72,3268.05,17.91,0,339.68,3589.82,44,No,17,Yes,No Offer,No,0,5,3253,0
Female,68,No,Yes,Yes,No,0,Yes,49247,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Fiber Optic,One Year,Yes,Credit card (automatic),96.55,1.98,6581.9,0.0,0,134.64,6716.54,68,Yes,19,Yes,No Offer,Yes,5,1,5957,1
Female,40,No,No,No,No,0,No,1884,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank transfer (automatic),20.3,48.92,246.3,0.0,0,538.12,784.42,11,No,0,No,No Offer,No,0,3,4188,0
Male,22,Yes,No,No,No,0,No,14937,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Cable,One Year,Yes,Credit card (automatic),81.15,34.75,4126.2,0.0,0,1772.25,5898.45,51,Yes,59,Yes,No Offer,No,0,4,4549,0
Male,20,Yes,No,No,No,0,No,44915,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,DSL,Two Year,Yes,Bank transfer (automatic),71.9,42.59,4479.2,0.0,0,2683.17,7162.37,63,Yes,85,Yes,Offer B,No,0,4,5816,0
Male,28,Yes,No,Yes,No,0,Yes,24502,Yes,No,No,No,No,No,No,No,No,No,One Year,No,Mailed check,20.1,5.2,85.1,0.0,0,26.0,111.1,5,No,0,No,No Offer,Yes,1,3,2894,0
Male,48,No,No,No,No,0,No,261,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,DSL,Two Year,Yes,Bank transfer (automatic),77.8,26.3,4323.35,0.0,0,1446.5,5769.85,55,Yes,23,Yes,No Offer,No,0,5,6483,0
Male,45,No,No,No,No,0,No,16910,Yes,Yes,No,Yes,No,No,No,No,No,DSL,Month-to-Month,Yes,Mailed check,51.8,3.94,1023.85,0.0,0,78.8,1102.65,20,No,18,Yes,Offer D,No,0,4,2764,0
Male,40,No,No,Yes,No,0,Yes,843,Yes,Yes,Yes,Yes,No,Yes,No,No,No,DSL,Two Year,No,Credit card (automatic),60.5,9.53,3121.45,0.0,0,486.03,3607.48,51,No,10,Yes,Offer B,Yes,5,3,4994,0
Female,50,No,No,Yes,Yes,2,Yes,82,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cable,Two Year,No,Credit card (automatic),90.3,47.05,5194.05,0.0,0,2775.95,7970.0,59,Yes,24,Yes,Offer B,Yes,5,3,4617,0
Male,28,Yes,No,Yes,Yes,1,Yes,2863,Yes,Yes,No,Yes,No,No,No,No,Yes,DSL,Month-to-Month,No,Electronic check,54.25,39.25,2538.2,0.0,0,1844.75,4382.95,47,Yes,26,Yes,Offer B,Yes,1,5,2320,0
Female,30,No,No,Yes,Yes,1,Yes,3674,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL,Two Year,Yes,Bank transfer (automatic),89.0,33.24,6293.2,0.0,0,2326.8,8620.0,70,Yes,51,Yes,No Offer,Yes,3,3,5650,0
Female,49,No,No,Yes,No,0,Yes,37779,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Fiber Optic,One Year,Yes,Electronic check,94.3,21.38,5610.15,5.55,150,1240.04,6994.64,58,Yes,26,No,No Offer,Yes,1,3,6166,0
Male,74,No,Yes,No,No,0,No,823,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,One Year,No,Credit card (automatic),70.0,31.73,1732.6,0.0,140,761.52,2634.12,24,No,13,No,Offer C,No,0,3,5242,0
Female,23,Yes,No,No,No,0,No,28201,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Mailed check,109.8,7.99,3587.25,0.0,0,271.66,3858.91,34,Yes,76,Yes,No Offer,No,0,1,3410,1
Female,60,No,No,No,No,0,No,47536,Yes,Yes,No,Yes,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),83.2,10.43,1130.0,0.0,0,156.45,1286.45,15,No,29,Yes,No Offer,No,0,3,4096,0
Male,26,Yes,No,Yes,No,0,Yes,327,Yes,No,No,No,No,No,No,No,No,No,One Year,No,Bank transfer (automatic),19.9,43.2,942.95,0.0,0,2030.4,2973.35,47,No,0,No,Offer B,No,0,5,5394,0
Female,43,No,No,No,No,0,No,129,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Credit card (automatic),102.5,19.04,4904.25,0.0,0,913.92,5818.17,48,No,21,Yes,Offer B,No,0,3,3262,0
Female,73,No,Yes,No,No,0,No,3873,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Two Year,Yes,Mailed check,70.6,32.61,70.6,0.0,30,32.61,133.21,1,No,27,No,Offer E,No,0,4,2576,0
Female,42,No,No,No,No,0,No,18529,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit card (automatic),19.2,6.0,532.1,0.0,0,150.0,682.1,25,No,0,No,Offer C,No,0,4,2159,0
Male,46,No,No,No,No,0,No,27822,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,No,Mailed check,98.15,3.36,1230.25,0.0,40,43.68,1313.93,13,Yes,15,No,No Offer,No,0,1,5525,1
Male,19,Yes,No,Yes,No,0,Yes,72993,Yes,No,No,No,No,No,No,No,No,No,Two Year,Yes,Credit card (automatic),25.15,13.2,1327.15,0.0,0,739.2,2066.35,56,Yes,0,No,Offer B,Yes,1,3,6484,1
Female,33,No,No,Yes,No,0,Yes,28318,Yes,No,No,No,No,No,No,No,No,No,One Year,No,Mailed check,19.35,1.64,307.0,10.57,0,27.88,324.31,17,No,0,No,Offer D,Yes,3,5,2185,0
Male,40,No,No,No,No,0,No,17554,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Fiber Optic,Two Year,Yes,Bank transfer (automatic),102.1,49.42,7149.35,0.0,0,3360.56,10509.91,68,Yes,7,Yes,No Offer,No,0,3,5228,0
Female,25,Yes,No,Yes,No,0,Yes,25399,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,DSL,Two Year,No,Bank transfer (automatic),81.85,6.23,5924.4,0.0,0,442.33,6366.73,71,No,58,Yes,Offer A,Yes,4,4,4090,0
Female,40,No,No,No,Yes,3,No,9899,Yes,No,No,No,No,No,No,No,No,No,Two Year,No,Credit card (automatic),20.15,18.95,970.85,0.0,0,947.5,1918.35,50,No,0,No,No Offer,No,0,3,4263,0
Male,44,No,No,No,No,0,No,57017,Yes,Yes,No,No,No,No,No,No,No,DSL,Month-to-Month,Yes,Mailed check,44.9,15.76,44.9,0.0,0,15.76,60.66,1,No,13,Yes,Offer E,No,0,3,2451,0
Male,56,No,No,No,No,0,No,17979,Yes,No,No,No,No,No,No,No,No,No,Two Year,No,Mailed check,25.75,4.9,1654.75,41.74,0,318.5,1931.51,65,Yes,0,No,No Offer,No,0,5,5707,0
Female,22,Yes,No,No,No,0,No,23506,Yes,Yes,Yes,No,No,No,No,No,No,Cable,Month-to-Month,Yes,Credit card (automatic),48.6,6.54,48.6,0.0,0,6.54,55.14,1,No,52,Yes,Offer E,No,0,1,4207,1
Male,27,Yes,No,No,No,0,No,29245,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Cable,Month-to-Month,Yes,Mailed check,55.75,30.92,266.95,0.0,0,154.6,421.55,5,No,41,Yes,Offer E,No,0,4,4545,0
Female,25,Yes,No,Yes,Yes,3,Yes,6301,Yes,No,No,No,No,No,No,No,No,No,Two Year,Yes,Bank transfer (automatic),25.3,34.03,1748.55,0.0,0,2211.95,3960.5,65,Yes,0,No,No Offer,Yes,9,4,4533,0
Male,59,No,No,Yes,Yes,2,Yes,213,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,74.3,49.95,4018.35,0.0,70,2847.15,6935.5,57,Yes,22,No,Offer B,Yes,4,5,4133,0
Female,64,No,No,Yes,No,0,Yes,173,Yes,Yes,Yes,No,Yes,Yes,No,No,No,DSL,One Year,No,Credit card (automatic),68.1,30.36,2479.25,0.0,0,1123.32,3602.57,37,Yes,11,Yes,No Offer,Yes,1,4,2873,0
Male,23,Yes,No,No,No,0,No,43436,Yes,Yes,No,No,No,No,No,Yes,Yes,DSL,Month-to-Month,Yes,Bank transfer (automatic),56.75,30.3,503.25,0.0,30,303.0,836.25,10,No,73,No,No Offer,No,0,5,2037,0
Female,42,No,No,Yes,No,0,Yes,48727,Yes,Yes,No,No,No,Yes,No,No,No,DSL,Month-to-Month,Yes,Mailed check,50.3,35.96,908.75,0.0,0,647.28,1556.03,18,No,17,Yes,Offer D,Yes,4,3,3740,0
Male,19,Yes,No,No,No,0,No,23971,Yes,Yes,No,No,No,No,No,No,No,DSL,Month-to-Month,No,Mailed check,50.75,24.66,50.75,0.0,0,24.66,75.41,1,Yes,26,Yes,No Offer,No,0,4,3631,0
Female,38,No,No,Yes,No,0,Yes,504,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,DSL,Two Year,Yes,Bank transfer (automatic),79.6,47.95,5515.8,0.0,0,3260.6,8776.4,68,No,14,Yes,Offer A,Yes,7,4,5601,0
Male,20,Yes,No,No,Yes,1,No,25771,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Cable,Month-to-Month,No,Mailed check,55.9,33.28,157.55,0.0,0,99.84,257.39,3,No,69,Yes,Offer E,No,0,4,4648,0
Male,52,No,No,Yes,No,0,Yes,8406,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Bank transfer (automatic),105.7,29.11,7472.15,0.0,0,2066.81,9538.96,71,Yes,28,Yes,Offer A,Yes,8,4,4420,0
Male,62,No,No,No,No,0,No,1143,Yes,No,No,No,No,No,No,No,No,No,One Year,No,Mailed check,19.6,20.46,422.5,0.0,0,450.12,872.62,22,No,0,No,No Offer,No,0,5,2203,0
Male,74,No,Yes,Yes,Yes,2,Yes,46214,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,DSL,Two Year,Yes,Bank transfer (automatic),75.15,32.9,3822.45,0.0,0,1645.0,5467.45,50,Yes,18,Yes,No Offer,Yes,3,4,6084,0
Male,44,No,No,No,No,0,No,2606,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed check,20.25,40.46,20.25,0.0,0,40.46,60.71,1,No,0,No,Offer E,No,0,3,5384,0
Female,59,No,No,No,No,0,No,2723,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed check,20.7,26.47,137.6,0.0,0,211.76,349.36,8,No,0,No,Offer E,No,0,5,3330,0
Male,23,Yes,No,No,No,0,No,699,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,No,Mailed check,70.15,4.29,735.5,0.0,0,42.9,778.4,10,No,85,Yes,No Offer,No,0,3,3963,0
Male,56,No,No,Yes,No,0,Yes,972,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,DSL,Two Year,No,Mailed check,68.15,17.31,4808.7,0.0,0,1246.32,6055.02,72,Yes,17,Yes,Offer A,Yes,1,3,4613,0
Male,36,No,No,Yes,No,0,Yes,348,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Cable,Two Year,No,Electronic check,59.0,0.0,3707.6,0.0,0,0.0,3707.6,63,No,5,Yes,No Offer,Yes,1,3,5639,0
Male,66,No,Yes,Yes,No,0,Yes,28568,Yes,Yes,No,No,No,No,No,Yes,No,Fiber Optic,Month-to-Month,No,Electronic check,78.55,4.98,1422.65,0.0,0,89.64,1512.29,18,No,18,Yes,Offer D,Yes,1,3,3521,1
Female,73,No,Yes,Yes,No,0,Yes,31428,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Fiber Optic,Two Year,Yes,Electronic check,100.8,28.06,6690.75,0.0,0,1851.96,8542.71,66,Yes,20,Yes,Offer A,No,0,4,5469,0
Male,63,No,No,Yes,No,0,Yes,171,Yes,Yes,No,No,No,No,Yes,No,No,Cable,Month-to-Month,Yes,Electronic check,85.6,30.1,813.85,0.0,0,301.0,1114.85,10,Yes,29,Yes,No Offer,Yes,1,2,5146,1
Male,54,No,No,Yes,No,0,Yes,14104,Yes,No,No,No,No,No,No,No,No,No,One Year,No,Mailed check,25.7,15.33,1110.5,0.0,0,674.52,1785.02,44,Yes,0,No,Offer B,Yes,10,3,3037,0
Female,32,No,No,No,No,0,No,4101,Yes,Yes,Yes,No,No,No,No,No,No,DSL,Month-to-Month,Yes,Credit card (automatic),48.8,3.95,1054.6,0.0,20,86.9,1161.5,22,No,30,No,No Offer,No,0,1,2270,1
Male,54,No,No,No,No,0,No,1146,Yes,Yes,No,No,No,No,Yes,Yes,Yes,DSL,Month-to-Month,No,Mailed check,69.6,13.76,1394.55,0.0,0,261.44,1655.99,19,Yes,4,Yes,Offer D,No,0,4,3349,0
Male,21,Yes,No,No,No,0,No,56100,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Credit card (automatic),99.95,41.94,2292.75,0.0,0,964.62,3257.37,23,No,30,Yes,No Offer,No,0,3,3515,0
Male,47,No,No,Yes,Yes,3,Yes,39458,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,No,Bank transfer (automatic),114.55,21.89,8306.05,21.6,40,1576.08,9900.53,72,Yes,58,No,No Offer,Yes,1,3,6158,0
Male,52,No,No,Yes,Yes,2,Yes,8768,Yes,No,No,No,No,No,No,No,No,No,Two Year,No,Credit card (automatic),24.75,36.5,1715.1,0.0,0,2372.5,4087.6,65,Yes,0,No,No Offer,Yes,4,5,6263,0
